name,date,value,category
CH Gayle ,1982-12-31,0,WI
CH Lloyd ,1982-12-31,462,WI
CH Lonsdale ,1982-12-31,0,BER
CH Morris ,1982-12-31,0,SA
Chirag Suri ,1982-12-31,0,UAE
CI Dunusinghe ,1982-12-31,0,SL
CJ Adams ,1982-12-31,0,ENG
CJ Anderson ,1982-12-31,0,NZ
CJ Bowes ,1982-12-31,0,NZ
CJ Chibhabha ,1982-12-31,0,ZIM
CJ Dala ,1982-12-31,0,SA
CJ Drum ,1982-12-31,0,NZ
CJ Ferguson ,1982-12-31,0,AUS
CJ Jordan ,1982-12-31,0,ENG
CJ McDermott ,1982-12-31,0,AUS
CJ McKay ,1982-12-31,0,AUS
CJ Nevin ,1982-12-31,0,NZ
CJ Richards ,1982-12-31,3,ENG
CJ Smith ,1982-12-31,0,BER
CJ Tavare ,1982-12-31,173,ENG
CJA Amini ,1982-12-31,0,PNG
CJD Chappell ,1982-12-31,0,CAN
CJO Smith ,1982-12-31,0,SCOT
CJPG van Zyl ,1982-12-31,0,SA
CK Coventry ,1982-12-31,0,ZIM
CK Holder ,1982-12-31,0,WI
CK Hooper ,1982-12-31,0,CAN
CK Kapugedera ,1982-12-31,0,SL
CK Kruger ,1982-12-31,0,HKG
CK Langeveldt ,1982-12-31,0,SA
CK Tshuma ,1982-12-31,0,ZIM
CKB Kulasekara ,1982-12-31,0,SL
CL Cairns ,1982-12-31,0,NZ
CL Hooper ,1982-12-31,0,WI
CL King ,1982-12-31,0,WI
CL Smith ,1982-12-31,0,ENG
CL White ,1982-12-31,0,AUS
CM Kuggeleijn ,1982-12-31,0,NZ
CM McBride ,1982-12-31,0,SCOT
CM Old ,1982-12-31,0,ENG
CM Spearman ,1982-12-31,0,NZ
CM Tuckett ,1982-12-31,0,WI
CM Wells ,1982-12-31,0,ENG
CM Willoughby ,1982-12-31,0,SA
CM Wright ,1982-12-31,0,SCOT
CMW Read ,1982-12-31,0,ENG
CN Ackermann ,1982-12-31,0,NED
CN Evans ,1982-12-31,0,ZIM
CN Greaves ,1982-12-31,0,SCOT
CO Browne ,1982-12-31,0,WI
CO Obuya ,1982-12-31,0,KENYA
CP Rizwan ,1982-12-31,0,UAE
CP Senanayake ,1982-12-31,0,SL
CP Tremain ,1982-12-31,0,AUS
